"// DN: ECDA3B5E87D4, SN: 35"
Timestamp,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,Mag_x,Mag_y,Mag_z,Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z
1761731731.004,310,312,313,313,313,313,313,313,313,310,311,310,310,310,310,312,312,310,313,310,310,310,310,310,309,313,310,332,313,310,300,315,312,313,298,8.0,-17.0,66.0,0.1220703050494194,0.1831054538488388,-0.0610351525247097,-0.00341796875,-0.009033203125,0.9783935546875
1761731731.014,310,313,313,313,310,313,313,313,313,313,312,312,312,313,312,312,313,310,310,310,312,312,313,313,313,216,313,309,191,313,310,312,310,312,312,8.0,-17.0,66.0,0.1220703050494194,0.1831054538488388,-0.0610351525247097,-0.0030517578125,-0.008544921875,0.9786376953125
1761731731.024,313,313,312,312,313,310,312,313,313,313,310,313,310,310,312,310,309,310,312,312,312,312,310,312,310,312,310,313,313,311,309,312,310,312,310,8.0,-17.0,66.0,0.1220703050494194,0.1831054538488388,-0.0610351525247097,-0.00341796875,-0.0081787109375,0.9788818359375
1761731731.034,313,313,312,315,313,314,309,313,301,295,312,304,313,298,315,312,300,310,286,300,311,294,312,290,313,266,293,308,332,313,310,293,313,304,293,8.0,-17.0,66.0,0.1831054538488388,0.1831054538488388,-0.0610351525247097,-0.00390625,-0.00830078125,0.9783935546875
1761731731.045,310,312,314,313,314,313,313,313,313,312,312,312,310,310,310,310,313,310,313,313,310,310,313,313,313,310,312,312,311,310,310,310,310,312,313,12.0,-17.0,63.0,0.1220703050494194,0.1831054538488388,-0.1220703050494194,-0.0040283203125,-0.0091552734375,0.978515625
1761731731.055,310,310,310,313,312,312,313,310,313,313,308,310,310,312,310,313,309,312,313,313,310,312,312,312,312,313,310,313,312,311,312,312,312,310,310,12.0,-17.0,63.0,0.1220703050494194,0.1831054538488388,-0.1220703050494194,-0.00439453125,-0.009521484375,0.979248046875
1761731731.065,309,311,313,313,313,313,313,312,313,313,310,309,313,312,310,310,310,313,310,313,313,312,312,312,310,311,311,312,312,313,310,313,312,312,313,12.0,-17.0,63.0,0.1220703050494194,0.1831054538488388,-0.0610351525247097,-0.004638671875,-0.0093994140625,0.97900390625
1761731731.076,68,313,313,312,312,313,313,313,313,313,308,310,298,309,309,313,310,310,312,310,310,312,313,312,310,312,310,312,313,310,310,312,312,310,310,12.0,-17.0,63.0,0.1220703050494194,0.1831054538488388,-0.0610351525247097,-0.0045166015625,-0.00927734375,0.9791259765625
1761731731.087,312,313,313,313,313,313,313,313,312,313,310,310,310,310,310,312,310,313,310,313,313,312,313,313,313,313,310,310,313,313,313,313,312,312,313,12.0,-17.0,63.0,0.0610351525247097,0.1220703050494194,-0.0610351525247097,-0.0045166015625,-0.0091552734375,0.9798583984375
1761731731.096,309,313,314,312,313,312,312,312,313,313,310,310,310,312,310,313,312,311,312,313,313,313,311,310,312,309,313,310,310,310,313,310,312,310,309,12.0,-17.0,63.0,0.1220703050494194,0.1831054538488388,-0.0610351525247097,-0.0047607421875,-0.0091552734375,0.9798583984375
