"// DN: F0F5BD690600, SN: 4"
Timestamp,P1,P2,P3,P4,Mag_x,Mag_y,Mag_z,Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z
1761808226.929,0,0,0,0,12.0,-2.0,-10.0,25.695798873901367,12.451170921325684,1.6479490995407104,-0.1573486328125,-0.754150390625,0.65234375
1761808226.936,0,0,0,0,12.0,-2.0,-10.0,18.06640625,-1.4648436307907104,12.329100608825684,-0.126220703125,-0.7545166015625,0.6756591796875
1761808226.949,0,0,0,0,12.0,-2.0,-10.0,13.244627952575684,-12.939452171325684,21.362302780151367,-0.0899658203125,-0.7572021484375,0.685791015625
1761808226.956,0,0,0,0,12.0,-2.0,-10.0,10.314940452575684,-20.568845748901367,27.343748092651367,-0.056884765625,-0.73779296875,0.68896484375
1761808226.968,0,0,0,0,12.0,-2.0,-10.0,8.30078125,-25.695798873901367,29.846189498901367,-0.03271484375,-0.7137451171875,0.7061767578125
1761808226.975,0,0,0,0,12.0,-2.0,-10.0,8.30078125,-25.695798873901367,29.846189498901367,-0.0428466796875,-0.7069091796875,0.72265625
1761808226.988,0,0,0,0,12.0,-2.0,-10.0,4.39453125,-31.066892623901367,26.855466842651367,-0.0791015625,-0.716552734375,0.7255859375
1761808226.995,0,0,0,0,12.0,-2.0,-10.0,4.39453125,-31.066892623901367,26.855466842651367,-0.10986328125,-0.7391357421875,0.7149658203125
1761808227.008,0,0,0,0,13.0,-4.0,-7.0,5.554198741912842,-27.770994186401367,22.094724655151367,-0.1220703125,-0.767333984375,0.6942138671875
1761808227.016,0,0,0,0,13.0,-4.0,-7.0,5.554198741912842,-27.770994186401367,22.094724655151367,-0.1226806640625,-0.77490234375,0.6829833984375
1761808227.029,0,0,0,0,13.0,-4.0,-7.0,-5.798339366912842,-33.50830078125,31.433103561401367,-0.1102294921875,-0.7442626953125,0.7037353515625
1761808227.036,0,0,0,0,13.0,-4.0,-7.0,-5.798339366912842,-33.50830078125,31.433103561401367,-0.098876953125,-0.70654296875,0.7115478515625
1761808227.049,0,0,0,0,13.0,-4.0,-7.0,-14.221190452575684,-56.945796966552734,51.635738372802734,-0.1219482421875,-0.6912841796875,0.7025146484375
1761808227.056,0,0,0,0,13.0,-4.0,-7.0,-14.221190452575684,-56.945796966552734,51.635738372802734,-0.1444091796875,-0.7012939453125,0.7069091796875
1761808227.068,0,0,0,0,13.0,-4.0,-7.0,-8.85009765625,-73.66943359375,69.51904296875,-0.100830078125,-0.7257080078125,0.703857421875
1761808227.075,0,0,0,0,13.0,-4.0,-7.0,-8.85009765625,-73.66943359375,69.51904296875,-0.100830078125,-0.7257080078125,0.703857421875
1761808227.088,0,0,0,0,13.0,-4.0,-7.0,-11.413573265075684,-64.02587890625,70.3125,0.04248046875,-0.7333984375,0.7008056640625
1761808227.095,0,0,0,0,13.0,-4.0,-7.0,-11.413573265075684,-64.02587890625,70.3125,0.04248046875,-0.7333984375,0.7008056640625
1761808227.107,0,0,0,0,11.0,1.0,-9.0,-13.610838890075684,-51.574703216552734,58.105464935302734,0.0205078125,-0.6951904296875,0.71337890625
1761808227.115,0,0,0,0,11.0,1.0,-9.0,-10.009765625,-37.2314453125,39.55078125,0.0205078125,-0.6951904296875,0.71337890625
1761808227.129,0,0,0,0,11.0,1.0,-9.0,6.591796398162842,-12.512206077575684,1.9531248807907104,-0.0433349609375,-0.7086181640625,0.68603515625
1761808227.136,0,0,0,0,11.0,1.0,-9.0,6.591796398162842,-12.512206077575684,1.9531248807907104,-0.0433349609375,-0.7086181640625,0.68603515625
1761808227.148,0,0,0,0,11.0,1.0,-9.0,9.70458984375,-7.690429210662842,-8.60595703125,-0.090576171875,-0.7601318359375,0.661865234375
1761808227.155,0,0,0,0,11.0,1.0,-9.0,7.446288585662842,-8.48388671875,-11.718749046325684,-0.090576171875,-0.7601318359375,0.661865234375
1761808227.167,0,0,0,0,11.0,1.0,-9.0,1.9531248807907104,-13.061522483825684,-8.97216796875,-0.082275390625,-0.775390625,0.6683349609375
1761808227.18,0,0,0,0,11.0,1.0,-9.0,-13.427733421325684,-35.09521484375,6.469726085662842,-0.0023193359375,-0.7244873046875,0.703125
1761808227.187,0,0,0,0,11.0,1.0,-9.0,-13.427733421325684,-35.09521484375,6.469726085662842,-0.0023193359375,-0.7244873046875,0.703125
1761808227.199,0,0,0,0,11.0,1.0,-9.0,-19.4091796875,-52.124019622802734,14.404295921325684,-0.02685546875,-0.64111328125,0.694580078125
1761808227.206,0,0,0,0,12.0,1.0,-11.0,-21.606443405151367,-67.81005859375,18.9208984375,-0.02685546875,-0.64111328125,0.694580078125
1761808227.219,0,0,0,0,12.0,1.0,-11.0,-21.118162155151367,-77.08740234375,19.95849609375,-0.002685546875,-0.6973876953125,0.6927490234375
1761808227.226,0,0,0,0,12.0,1.0,-11.0,-19.10400390625,-77.69775390625,18.06640625,-0.002685546875,-0.6973876953125,0.6927490234375
1761808227.24,0,0,0,0,12.0,1.0,-11.0,-14.404295921325684,-70.86181640625,14.160155296325684,0.0040283203125,-0.740234375,0.68896484375
1761808227.247,0,0,0,0,12.0,1.0,-11.0,-5.493163585662842,-60.058589935302734,10.009765625,0.0040283203125,-0.740234375,0.68896484375
1761808227.26,0,0,0,0,12.0,1.0,-11.0,6.347655773162842,-47.912593841552734,7.263183116912842,-0.00341796875,-0.7734375,0.660888671875
1761808227.267,0,0,0,0,12.0,1.0,-11.0,16.05224609375,-36.4990234375,5.798339366912842,-0.00341796875,-0.7734375,0.660888671875
1761808227.279,0,0,0,0,12.0,1.0,-11.0,19.22607421875,-27.709959030151367,4.94384765625,-0.02978515625,-0.775634765625,0.6563720703125
1761808227.286,0,0,0,0,12.0,1.0,-11.0,16.6015625,-22.216794967651367,4.21142578125,-0.0400390625,-0.7747802734375,0.66552734375
1761808227.299,0,0,0,0,12.0,1.0,-11.0,11.108397483825684,-19.1650390625,3.845214605331421,-0.024169921875,-0.77392578125,0.663818359375
1761808227.306,0,0,0,0,10.0,1.0,-12.0,1.8920897245407104,-18.98193359375,3.601073980331421,-0.0201416015625,-0.766357421875,0.6666259765625
